From,To,distance,time
571QD804,571QC822,5.573470589,11.14694118
571QD809,571QC822,5.08166971,10.16333942
571QD812,571QC822,4.474211893,8.948423786
571QD813,571QC822,4.923244553,9.846489105
571QD814,571QC822,3.677581841,7.355163683
571QD815,571QC822,5.388399976,10.77679995
571QD816,571QC822,5.346752846,10.69350569
571QD818,571QC822,5.351464206,10.70292841
571QD820,571QC822,3.284814762,6.569629524
571QD821,571QC822,6.137288482,12.27457696
571NF801,571QC822,5.32148236,10.64296472
571NF805,571QC822,5.450471308,10.90094262
571NF806,571QC822,6.571437845,13.14287569
571NF807,571QC822,3.849808529,7.699617058
571NF808,571QC822,8.361369668,16.72273934
571NF809,571QC822,7.69542136,15.39084272
571AG803,571QC822,2.370329849,4.740659697
571AG806,571QC822,0.674821029,1.349642057
571QE801,571QC822,4.355039012,8.710078023
571QE807,571QC822,4.141670582,8.283341164
571QE813,571QC822,6.264552219,12.52910444
571QE814,571QC822,6.007186165,12.01437233
571QE819,571QC822,4.912394974,9.824789948
571QE820,571QC822,5.32597041,10.65194082
571QE821,571QC822,5.717828201,11.4356564
571QE827,571QC822,5.603527522,11.20705504
571QE837,571QC822,4.77515383,9.550307661
571QC806,571QC822,4.843323859,9.686647717
571QC807,571QC822,4.842808404,9.685616809
571QC808,571QC822,4.39977415,8.799548301
571QE806,571QC822,6.157493076,12.31498615
571QE810,571QC822,5.687810565,11.37562113
571QE815,571QC822,7.003549133,14.00709827
571QE816,571QC822,7.037037214,14.07407443
571QE823,571QC822,6.856255718,13.71251144
571QE825,571QC822,6.64009578,13.28019156
571QE826,571QC822,5.910455694,11.82091139
571QE829,571QC822,7.592878835,15.18575767
571QE832,571QC822,7.744578759,15.48915752
571QE833,571QC822,5.920869312,11.84173862
571QC802,571QC823,1.749567879,3.499135758
571QC803,571QC823,1.354275906,2.708551812
571QC805,571QC823,0.900434882,1.800869764
571QC809,571QC823,1.423929687,2.847859374
571QC811,571QC823,0.517606996,1.035213992
571QC813,571QC823,1.275773503,2.551547006
571QC814,571QC823,1.135432729,2.270865458
571QC816,571QC823,1.421408862,2.842817723
571QC820,571QC823,2.168117132,4.336234265
571QC822,571QC823,0.737771129,1.475542259
571QC823,571QC823,0,0
571QC824,571QC823,0.660856328,1.321712656
571QC828,571QC823,2.230324827,4.460649654
571QC826,571QC823,1.417443797,2.834887595
571QD802,571QC823,5.891772052,11.7835441
571QD804,571QC823,5.285073449,10.5701469
571QD809,571QC823,5.003331029,10.00666206
571QD812,571QC823,4.289315211,8.578630421
571QD813,571QC823,4.916048545,9.832097089
571QD814,571QC823,3.517454331,7.034908661
571QD815,571QC823,5.199018525,10.39803705
571QD816,571QC823,4.882171655,9.764343309
571QD818,571QC823,4.745443526,9.490887051
571QD820,571QC823,2.85448576,5.70897152
571QD821,571QC823,5.762493434,11.52498687
571NF801,571QC823,4.65638783,9.31277566
571NF805,571QC823,4.812157078,9.624314156
571NF806,571QC823,5.913314673,11.82662935
571NF807,571QC823,3.254452367,6.508904733
571NF808,571QC823,7.836797147,15.67359429
571NF809,571QC823,7.082957292,14.16591458
571AG803,571QC823,3.100144337,6.200288673
571AG806,571QC823,0.857211066,1.714422131
571QE801,571QC823,3.680469285,7.360938571
571QE807,571QC823,3.40505553,6.81011106
571QE813,571QC823,5.536138308,11.07227662
571QE814,571QC823,5.278991037,10.55798207
571QE819,571QC823,4.181066229,8.362132458
571QE820,571QC823,4.60394656,9.20789312
571QE821,571QC823,5.0001236,10.0002472
571QE827,571QC823,4.897687264,9.795374529
571QE837,571QC823,4.047851328,8.095702656
571QC806,571QC823,4.129673009,8.259346017
571QC807,571QC823,4.12919465,8.258389301
571QC808,571QC823,3.691798635,7.383597271
571QE806,571QC823,5.480306694,10.96061339
571QE810,571QC823,5.080072902,10.1601458
571QE815,571QC823,6.432763465,12.86552693
571QE816,571QC823,6.490000045,12.98000009
571QE823,571QC823,6.208364898,12.4167298
571QE825,571QC823,6.018076236,12.03615247
571QE826,571QC823,5.282438813,10.56487763
571QE829,571QC823,6.906957275,13.81391455
571QE832,571QC823,7.037281581,14.07456316
571QE833,571QC823,5.361444232,10.72288846
571QC802,571QC824,1.751078253,3.502156506
571QC803,571QC824,1.388783456,2.777566912
571QC805,571QC824,0.252771695,0.50554339
571QC809,571QC824,1.513164198,3.026328396
571QC811,571QC824,0.416832471,0.833664943
