from,to,dist,time
571AF,571FB,15.31,26.24571429
571AF,571CD,8.304,14.23542857
571AF,571HN,13.228,22.67657143
571AF,571J,4.996,8.564571429
571AF,571JB,5.632,9.654857143
571AF,571KA,3.805,6.522857143
571AF,571KL,3.553,6.090857143
571AF,571FE,36.455,62.49428571
571AF,571MC,31.161,53.41885714
571AF,571MF,33.969,58.23257143
571AF,571M,32.083,54.99942857
571AF,571MB,29.286,50.20457143
571AF,571MD,43.384,74.37257143
571AF,571NA,29.501,50.57314286
571AF,571NE,23.21,39.78857143
571AF,571NC,10.989,18.83828571
571AF,571P,3.552,6.089142857
571AF,571PB,5.746,9.850285714
571AF,571PC,1.991,3.413142857
571AF,571PD,8.074,13.84114286
571AF,571AJ,6.566,11.256
571AF,571KJ,5.926,10.15885714
571AF,571PF,7.078,12.13371429
571AF,571PG,19.737,33.83485714
571AF,571PH,4.507,7.726285714
571AF,571AE,15.27,26.17714286
571AF,571HP,17.226,29.53028571
571AF,571QF,14.66,25.13142857
571AF,571QA,6.202,10.632
571AF,571QC,15.341,26.29885714
571AF,571QD,9.049,15.51257143
571AF,571QE,13.249,22.71257143
571AF,571QM,33.618,57.63085714
571AF,571L,87.284,149.6297143
571AF,571LA,85.796,147.0788571
571AF,571SF,160.684,275.4582857
571AF,571SA,139.288,238.7794286
571AF,571SE,134.269,230.1754286
571AF,571SP,154.861,265.476
571AF,571SQ,114.121,195.636
571AF,571ST,128.295,219.9342857
571AF,571NB,18.734,32.11542857
571AF,571NH,20.265,34.74
571AF,571QB,26.326,45.13028571
571AF,571FX,20.067,34.40057143
571AF,571KM,18.169,31.14685714
571AF,571TC,29.554,50.664
571AF,571TB,17.209,29.50114286
571AF,571TE,27.388,46.95085714
571AF,571TK,15.996,27.42171429
571AF,571TP,26.975,46.24285714
571AF,571W,21.845,37.44857143
571AF,571WA,27.112,46.47771429
571AF,571WW,32.59,55.86857143
571AG,571AA,16.209,27.78685714
571AG,571AD,12.468,21.37371429
571AG,571AF,16.048,27.51085714
571AG,571AC,34.414,58.99542857
571AG,571AQ,41.941,71.89885714
571AG,571AM,21.418,36.71657143
571AG,571AB,43.206,74.06742857
571AG,571JC,44.428,76.16228571
571AG,571KH,53.943,92.47371429
571AG,571TH,77.541,132.9274286
571AG,571TL,32.242,55.272
571AG,571DA,19.931,34.16742857
571AG,571K,18.894,32.38971429
571AG,571KF,16.246,27.85028571
571AG,571KC,21.037,36.06342857
571AG,571TD,23.623,40.49657143
571AG,571TN,24.773,42.468
571AG,571HC,26.253,45.00514286
571AG,571TM,24.26,41.58857143
571AG,571B,13.025,22.32857143
571AG,571BM,18.943,32.47371429
571AG,571CAE,26.671,45.72171429
571AG,571FC,32.203,55.20514286
571AG,571FN,37.822,64.83771429
571AG,571LD,29.754,51.00685714
571AG,571FT,28.187,48.32057143
571AG,571KB,26.802,45.94628571
571AG,571CS,16.541,28.356
571AG,571D,13.226,22.67314286
571AG,571DC,6.637,11.37771429
571AG,571CC,48.14,82.52571429
571AG,571FQ,47.618,81.63085714
571AG,571HK,41.884,71.80114286
571AG,571E,17.456,29.92457143
571AG,571EA,18.99,32.55428571
571AG,571HB,34.225,58.67142857
571AG,571KT,34.565,59.25428571
571AG,571DB,16.589,28.43828571
571AG,571DJ,12.804,21.94971429
571AG,571H,35.009,60.01542857
571AG,571TF,32.995,56.56285714
571AG,571TQ,30.753,52.71942857
571AG,571FF,28.279,48.47828571
571AG,571FH,33.11,56.76
571AG,571FL,30.736,52.69028571
571AG,571FJ,110.864,190.0525714
571AG,571SC,99.241,170.1274286
571AG,571FG,70.812,121.392
571AG,571MQ,52.809,90.52971429
571AG,571NF,7.322,12.552
571AG,571NG,22.641,38.81314286
571AG,571FA,35.842,61.44342857
571AG,571FP,34.445,59.04857143
571AG,571HJ,29.475,50.52857143
571AG,571LB,32.348,55.45371429
571AG,571QKA,7.266,12.456
571AG,571QKB,48.565,83.25428571
571AG,571QKC,11.277,19.332
571AG,571QKD,34.327,58.84628571
571AG,571QKE,28.176,48.30171429
571AG,571QKF,21.41,36.70285714
571AG,571QKG,12.827,21.98914286
571AG,571QKT,0,0
571AG,571FM,27.823,47.69657143
571AG,571FD,49.951,85.63028571
571AG,571FR,39.337,67.43485714
571AG,571FS,61.733,105.828
571AG,571LH,45.922,78.72342857
571AG,571SH,53.135,91.08857143
571AG,571FK,63.71,109.2171429
571AG,571G,41.855,71.75142857
571AG,571GB,35.709,61.21542857
571AG,571GC,52.192,89.472
571AG,571HG,45.968,78.80228571
571AG,571SB,44.703,76.63371429
571AG,571SD,38.735,66.40285714
571AG,571CK,28.59,49.01142857
