from,to,dist,time
571AG,571TD,23.623,47.246
571AG,571TN,24.773,49.546
571AG,571HC,26.253,52.506
571AG,571TM,24.26,48.52
571AG,571B,13.025,26.05
571AG,571BM,18.943,37.886
571AG,571CAE,26.671,58.342
571AG,571FC,32.203,69.406
571AG,571FN,37.822,80.644
571AG,571LD,29.754,64.508
571AG,571FT,28.187,61.374
571AG,571KB,26.802,58.604
571AG,571CS,16.541,33.082
571AG,571D,13.226,26.452
571AG,571DC,6.637,13.274
571AG,571CC,48.14,101.28
571AG,571FQ,47.618,100.236
571AG,571HK,41.884,88.768
571AG,571E,17.456,34.912
571AG,571EA,18.99,37.98
571AG,571HB,34.225,68.45
571AG,571KT,34.565,69.13
571AG,571DB,16.589,33.178
571AG,571DJ,12.804,25.608
571AG,571H,35.009,70.018
571AG,571TF,32.995,65.99
571AG,571TQ,30.753,61.506
571AG,571FF,28.279,61.558
571AG,571FH,33.11,71.22
571AG,571FL,30.736,66.472
571AG,571FJ,110.864,221.728
571AG,571SC,99.241,198.482
571AG,571FG,70.812,146.624
571AG,571MQ,52.809,110.618
571AG,571NF,7.322,14.644
571AG,571NG,22.641,45.282
571AG,571FA,35.842,76.684
571AG,571FP,34.445,73.89
571AG,571HJ,29.475,63.95
571AG,571LB,32.348,69.696
571AG,571QKA,7.266,14.532
571AG,571QKB,48.565,97.13
571AG,571QKC,11.277,22.554
571AG,571QKD,34.327,68.654
571AG,571QKE,28.176,61.352
571AG,571QKF,21.41,42.82
571AG,571QKG,12.827,25.654
571AG,571QKT,0,5
571AG,571FM,27.823,60.646
571AG,571FD,49.951,104.902
571AG,571FR,39.337,83.674
571AG,571FS,61.733,128.466
571AG,571LH,45.922,96.844
571AG,571SH,53.135,111.27
571AG,571FK,63.71,127.42
571AG,571G,41.855,83.71
571AG,571GB,35.709,71.418
571AG,571GC,52.192,104.384
571AG,571HG,45.968,91.936
571AG,571SB,44.703,89.406
571AG,571SD,38.735,77.47
571AG,571CK,28.59,62.18
571AG,571CL,28.418,61.836
571AG,571FB,28.682,62.364
571AG,571CD,6.844,13.688
571AG,571HN,6.418,12.836
571AG,571J,11.365,22.73
571AG,571JB,10.788,21.576
571AG,571KA,18.696,37.392
571AG,571KL,14.422,28.844
571AG,571FE,47.206,99.412
571AG,571MC,41.912,88.824
571AG,571MF,44.72,94.44
571AG,571M,49.306,103.612
571AG,571MB,46.509,98.018
571AG,571MD,60.607,126.214
571AG,571NA,19.481,38.962
571AG,571NE,12.332,24.664
571AG,571NC,23.291,46.582
571AG,571P,20.129,40.258
571AG,571PB,22.937,45.874
571AG,571PC,17.387,34.774
571AG,571PD,21.446,42.892
571AG,571AJ,9.261,18.522
571AG,571KJ,9.76,19.52
571AG,571PF,22.087,44.174
571AG,571PG,24.744,49.488
571AG,571PH,21.185,42.37
571AG,571AE,10.744,21.488
571AG,571HP,9.16,18.32
571AG,571QF,11.133,22.266
571AG,571QA,8.183,16.366
571AG,571QC,6.645,13.29
571AG,571QD,5.785,11.57
571AG,571QE,6.698,13.396
571AG,571QM,50.841,106.682
571AG,571L,87.452,174.904
571AG,571LA,85.964,171.928
571AG,571SF,160.852,321.704
571AG,571SA,139.456,278.912
