from,to,dist,time
571AC,571QC,31.852,42.46933333
571AC,571QD,28.234,37.64533333
571AC,571QE,29.749,39.66533333
571AC,571QM,23.312,31.08266667
571AC,571L,110.752,147.6693333
571AC,571LA,109.264,145.6853333
571AC,571SF,184.152,245.536
571AC,571SA,162.756,217.008
571AC,571SE,157.737,210.316
571AC,571SP,178.329,237.772
571AC,571SQ,137.589,183.452
571AC,571ST,151.763,202.3506667
571AC,571NB,57.346,76.46133333
571AC,571NH,40.008,53.344
571AC,571QB,64.884,86.512
571AC,571FX,20.462,27.28266667
571AC,571KM,21.61,28.81333333
571AC,571TC,26.748,35.664
571AC,571TB,32.929,43.90533333
571AC,571TE,39.568,52.75733333
571AC,571TK,24.444,32.592
571AC,571TP,28.661,38.21466667
571AC,571W,2.061,2.748
571AC,571WA,16.806,22.408
571AC,571WW,22.284,29.712
571AQ,571AA,31.675,42.23333333
571AQ,571AD,28.81,38.41333333
571AQ,571AF,28.825,38.43333333
571AQ,571AG,41.668,55.55733333
571AQ,571AC,4.697,6.262666667
571AQ,571AM,15.525,20.7
571AQ,571AB,94.007,125.3426667
571AQ,571JC,95.229,126.972
571AQ,571KH,104.744,139.6586667
571AQ,571TH,128.342,171.1226667
571AQ,571TL,83.043,110.724
571AQ,571DA,27.156,36.208
571AQ,571K,22.233,29.644
571AQ,571KF,28.558,38.07733333
571AQ,571KC,25.434,33.912
571AQ,571TD,20.446,27.26133333
571AQ,571TN,22.103,29.47066667
571AQ,571HC,10.641,14.188
571AQ,571TM,11.759,15.67866667
571AQ,571B,30.005,40.00666667
571AQ,571BM,34.409,45.87866667
571AQ,571CAE,30.951,41.268
571AQ,571FC,24.196,32.26133333
571AQ,571FN,20.321,27.09466667
571AQ,571LD,25.66,34.21333333
571AQ,571FT,29.278,39.03733333
571AQ,571KB,31.082,41.44266667
571AQ,571CS,32.007,42.676
571AQ,571D,27.47,36.62666667
571AQ,571DC,39.008,52.01066667
571AQ,571CC,20.999,27.99866667
571AQ,571FQ,18.457,24.60933333
571AQ,571HK,31.542,42.056
571AQ,571E,32.922,43.896
571AQ,571EA,32.043,42.724
571AQ,571HB,10.524,14.032
571AQ,571KT,7.404,9.872
571AQ,571DB,33.77,45.02666667
571AQ,571DJ,31.346,41.79466667
571AQ,571H,29.476,39.30133333
571AQ,571TF,27.248,36.33066667
571AQ,571TQ,22.701,30.268
571AQ,571FF,32.298,43.064
571AQ,571FH,41.12,54.82666667
571AQ,571FL,33.965,45.28666667
571AQ,571FJ,142.974,190.632
571AQ,571SC,120.67,160.8933333
571AQ,571FG,46.457,61.94266667
571AQ,571MQ,26.494,35.32533333
571AQ,571NF,41.808,55.744
571AQ,571NG,45.109,60.14533333
571AQ,571FA,22.687,30.24933333
571AQ,571FP,21.919,29.22533333
571AQ,571HJ,27.863,37.15066667
571AQ,571LB,25.944,34.592
571AQ,571QKA,46.108,61.47733333
571AQ,571QKB,19.165,25.55333333
571AQ,571QKC,60.627,80.836
571AQ,571QKD,3.151,4.201333333
571AQ,571QKE,28.069,37.42533333
571AQ,571QKF,15.517,20.68933333
571AQ,571QKG,59.868,79.824
571AQ,571QKT,0,0
571AQ,571FM,28.616,38.15466667
571AQ,571FD,31.248,41.664
571AQ,571FR,40.583,54.11066667
571AQ,571FS,43.03,57.37333333
571AQ,571LH,28.336,37.78133333
571AQ,571SH,50.184,66.912
571AQ,571FK,91.036,121.3813333
571AQ,571G,69.181,92.24133333
571AQ,571GB,57.138,76.184
571AQ,571GC,73.621,98.16133333
571AQ,571HG,77.93,103.9066667
571AQ,571SB,66.132,88.176
571AQ,571SD,66.061,88.08133333
571AQ,571CK,28.641,38.188
571AQ,571CL,27.803,37.07066667
571AQ,571FB,27.064,36.08533333
571AQ,571CD,35.958,47.944
571AQ,571HN,52.602,70.136
571AQ,571J,32.685,43.58
571AQ,571JB,31.286,41.71466667
571AQ,571KA,25.323,33.764
571AQ,571KL,29.912,39.88266667
571AQ,571FE,20.891,27.85466667
571AQ,571MC,15.597,20.796
571AQ,571MF,18.405,24.54
571AQ,571M,19.906,26.54133333
571AQ,571MB,17.109,22.812
571AQ,571MD,31.207,41.60933333
571AQ,571NA,52.046,69.39466667
571AQ,571NE,46.505,62.00666667
571AQ,571NC,20.53,27.37333333
571AQ,571P,31.632,42.176
571AQ,571PB,17.349,23.132
571AQ,571PC,20.124,26.832
571AQ,571PD,37.677,50.236
571AQ,571AJ,34.22,45.62666667
571AQ,571KJ,33.615,44.82
571AQ,571PF,32.542,43.38933333
571AQ,571PG,52.07,69.42666667
571AQ,571PH,18.93,25.24
571AQ,571AE,61.707,82.276
571AQ,571HP,55.344,73.792
571AQ,571QF,60.483,80.644
571AQ,571QA,32.097,42.796
571AQ,571QC,39.016,52.02133333
571AQ,571QD,35.011,46.68133333
571AQ,571QE,36.913,49.21733333
571AQ,571QM,21.441,28.588
571AQ,571L,108.881,145.1746667
571AQ,571LA,107.393,143.1906667
571AQ,571SF,182.281,243.0413333
571AQ,571SA,160.885,214.5133333
571AQ,571SE,155.866,207.8213333
571AQ,571SP,176.458,235.2773333
571AQ,571SQ,135.718,180.9573333
571AQ,571ST,149.892,199.856
