from,to,dist,time,????12????????,????5????????
571AG,571KH,53.943,107.886,#N/A,#N/A
571AG,571TH,77.541,155.082,#N/A,#N/A
571AG,571TL,32.242,64.484,#N/A,#N/A
571AG,571DA,19.931,39.862,#N/A,#N/A
571AG,571K,18.894,37.788,#N/A,#N/A
571AG,571KF,16.246,32.492,#N/A,#N/A
571AG,571KC,21.037,42.074,#N/A,#N/A
571AG,571TD,23.623,47.246,#N/A,#N/A
571AG,571TN,24.773,49.546,#N/A,#N/A
571AG,571HC,26.253,52.506,#N/A,#N/A
571AG,571TM,24.26,48.52,#N/A,#N/A
571AG,571B,13.025,26.05,#N/A,#N/A
571AG,571BM,18.943,37.886,#N/A,#N/A
571AG,571CAE,26.671,58.342,#N/A,#N/A
571AG,571FC,32.203,69.406,#N/A,#N/A
571AG,571FN,37.822,80.644,#N/A,#N/A
571AG,571LD,29.754,64.508,#N/A,#N/A
571AG,571FT,28.187,61.374,#N/A,#N/A
571AG,571KB,26.802,58.604,#N/A,#N/A
571AG,571CS,16.541,33.082,#N/A,#N/A
571AG,571D,13.226,26.452,#N/A,#N/A
571AG,571DC,6.637,13.274,#N/A,#N/A
571AG,571CC,48.14,101.28,#N/A,#N/A
571AG,571FQ,47.618,100.236,#N/A,#N/A
571AG,571HK,41.884,88.768,#N/A,#N/A
571AG,571E,17.456,34.912,#N/A,#N/A
571AG,571EA,18.99,37.98,#N/A,#N/A
571AG,571HB,34.225,68.45,#N/A,#N/A
571AG,571KT,34.565,69.13,#N/A,#N/A
571AG,571DB,16.589,33.178,#N/A,#N/A
571AG,571DJ,12.804,25.608,#N/A,#N/A
571AG,571H,35.009,70.018,#N/A,#N/A
571AG,571TF,32.995,65.99,#N/A,#N/A
571AG,571TQ,30.753,61.506,#N/A,#N/A
571AG,571FF,28.279,61.558,#N/A,#N/A
571AG,571FH,33.11,71.22,#N/A,#N/A
571AG,571FL,30.736,66.472,#N/A,#N/A
571AG,571FJ,110.864,221.728,#N/A,#N/A
571AG,571SC,99.241,198.482,#N/A,#N/A
571AG,571FG,70.812,146.624,#N/A,#N/A
571AG,571MQ,52.809,110.618,#N/A,#N/A
571AG,571NF,7.322,14.644,#N/A,#N/A
571AG,571NG,22.641,45.282,#N/A,#N/A
571AG,571FA,35.842,76.684,#N/A,#N/A
571AG,571FP,34.445,73.89,#N/A,#N/A
571AG,571HJ,29.475,63.95,#N/A,#N/A
571AG,571LB,32.348,69.696,#N/A,#N/A
571AG,571QKA,7.266,14.532,#N/A,#N/A
571AG,571QKB,48.565,97.13,#N/A,#N/A
571AG,571QKC,11.277,22.554,#N/A,#N/A
571AG,571QKD,34.327,68.654,#N/A,#N/A
571AG,571QKE,28.176,61.352,#N/A,#N/A
571AG,571QKF,21.41,42.82,#N/A,#N/A
571AG,571QKG,12.827,25.654,#N/A,#N/A
571AG,571QKT,0,5,#N/A,#N/A
571AG,571FM,27.823,60.646,#N/A,#N/A
571AG,571FD,49.951,104.902,#N/A,#N/A
571AG,571FR,39.337,83.674,#N/A,#N/A
571AG,571FS,61.733,128.466,#N/A,#N/A
571AG,571LH,45.922,96.844,#N/A,#N/A
571AG,571SH,53.135,111.27,#N/A,#N/A
571AG,571FK,63.71,127.42,#N/A,#N/A
571AG,571G,41.855,83.71,#N/A,7
571AG,571GB,35.709,71.418,#N/A,#N/A
571AG,571GC,52.192,104.384,#N/A,#N/A
571AG,571HG,45.968,91.936,#N/A,#N/A
571AG,571SB,44.703,89.406,#N/A,#N/A
571AG,571SD,38.735,77.47,#N/A,#N/A
571AG,571CK,28.59,62.18,#N/A,#N/A
571AG,571CL,28.418,61.836,#N/A,#N/A
571AG,571FB,28.682,62.364,#N/A,6
571AG,571CD,6.844,13.688,#N/A,#N/A
571AG,571HN,6.418,12.836,#N/A,#N/A
571AG,571J,11.365,22.73,#N/A,#N/A
571AG,571JB,10.788,21.576,#N/A,#N/A
571AG,571KA,18.696,37.392,#N/A,#N/A
571AG,571KL,14.422,28.844,#N/A,#N/A
571AG,571FE,47.206,99.412,#N/A,#N/A
571AG,571MC,41.912,88.824,#N/A,#N/A
571AG,571MF,44.72,94.44,#N/A,#N/A
571AG,571M,49.306,103.612,#N/A,#N/A
571AG,571MB,46.509,98.018,#N/A,#N/A
571AG,571MD,60.607,126.214,#N/A,#N/A
571AG,571NA,19.481,38.962,#N/A,#N/A
571AG,571NE,12.332,24.664,#N/A,#N/A
571AG,571NC,23.291,46.582,#N/A,#N/A
571AG,571P,20.129,40.258,#N/A,#N/A
571AG,571PB,22.937,45.874,#N/A,#N/A
571AG,571PC,17.387,34.774,#N/A,#N/A
571AG,571PD,21.446,42.892,#N/A,#N/A
571AG,571AJ,9.261,18.522,#N/A,#N/A
571AG,571KJ,9.76,19.52,#N/A,#N/A
571AG,571PF,22.087,44.174,#N/A,#N/A
571AG,571PG,24.744,49.488,#N/A,#N/A
571AG,571PH,21.185,42.37,#N/A,#N/A
571AG,571AE,10.744,21.488,#N/A,#N/A
571AG,571HP,9.16,18.32,#N/A,#N/A
571AG,571QF,11.133,22.266,#N/A,#N/A
571AG,571QA,8.183,16.366,#N/A,#N/A
571AG,571QC,6.645,13.29,#N/A,#N/A
571AG,571QD,5.785,11.57,#N/A,#N/A
571AG,571QE,6.698,13.396,#N/A,#N/A
571AG,571QM,50.841,106.682,#N/A,#N/A
571AG,571L,87.452,174.904,#N/A,#N/A
571AG,571LA,85.964,171.928,#N/A,#N/A
571AG,571SF,160.852,321.704,#N/A,#N/A
571AG,571SA,139.456,278.912,#N/A,#N/A
571AG,571SE,134.437,268.874,#N/A,#N/A
571AG,571SP,155.029,310.058,#N/A,#N/A
571AG,571SQ,114.289,228.578,#N/A,#N/A
571AG,571ST,128.463,256.926,#N/A,#N/A
571AG,571NB,13.322,26.644,#N/A,#N/A
571AG,571NH,11.969,23.938,#N/A,8
571AG,571QB,20.86,41.72,#N/A,#N/A
571AG,571FX,37.29,79.58,#N/A,#N/A
571AG,571KM,35.392,75.784,#N/A,#N/A
571AG,571TC,36.414,72.828,#N/A,#N/A
571AG,571TB,18.744,37.488,#N/A,#N/A
571AG,571TE,25.383,50.766,#N/A,#N/A
571AG,571TK,22.207,44.414,#N/A,#N/A
571AG,571TP,34.034,68.068,#N/A,4
571AG,571W,34.147,68.294,#N/A,#N/A
571AG,571WA,44.335,93.67,#N/A,#N/A
571AG,571WW,49.813,104.626,#N/A,5
571AC,571AA,24.898,49.796,#N/A,#N/A
571AC,571AD,22.033,44.066,#N/A,#N/A
571AC,571AF,22.048,44.096,#N/A,#N/A
571AC,571AG,34.504,69.008,#N/A,#N/A
571AC,571AQ,5.311,10.622,#N/A,#N/A
571AC,571AM,18.699,37.398,#N/A,#N/A
571AC,571AB,87.23,174.46,#N/A,#N/A
571AC,571JC,88.452,176.904,#N/A,#N/A
571AC,571KH,97.967,195.934,#N/A,#N/A
